Gene Symbol,Gene ID,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
ELMO1,9844,Schizophrenia,MESH:D012559,,Cocaine|Valproic Acid,4.16,3
ELOA,6924,Schizophrenia,MESH:D012559,,Lipopolysaccharides|Valproic Acid,4.16,3
EPX,8288,Schizophrenia,MESH:D012559,,Lipopolysaccharides|Valproic Acid,4.16,3
FILIP1,27145,Schizophrenia,MESH:D012559,,Carbamazepine|Valproic Acid,4.16,3
HGSNAT,138050,Schizophrenia,MESH:D012559,,Carbamazepine|Valproic Acid,4.16,3
ICE2,79664,Schizophrenia,MESH:D012559,,Cocaine|Valproic Acid,4.16,3
IRAK4,51135,Schizophrenia,MESH:D012559,,Lipopolysaccharides|Valproic Acid,4.16,3
KCNC3,3748,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.16,3
MCM4,4173,Schizophrenia,MESH:D012559,,Copper|Phenobarbital|Valproic Acid,4.16,4
MED13,9969,Schizophrenia,MESH:D012559,,Carbamazepine|Valproic Acid,4.16,3
MMP7,4316,"Schizophrenia, Catatonic",MESH:D012560,,Clozapine,4.16,1
MOG,4340,"Schizophrenia, Paranoid",MESH:D012563,,Haloperidol,4.16,4
MPI,4351,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.16,3
MYH3,4621,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.16,3
N4BP1,9683,Schizophrenia,MESH:D012559,,Methamphetamine|Valproic Acid,4.16,7
NDUFA4,4697,Schizophrenia,MESH:D012559,,Copper|Phenobarbital,4.16,2
NDUFB4,4710,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.16,3
NDUFS2,4720,Schizophrenia,MESH:D012559,,Cocaine|Valproic Acid,4.16,3
OPRK1,4986,"Schizophrenia, Paranoid",MESH:D012563,,Magnesium,4.16,1
OTULINL,54491,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.16,3
PDE1A,5136,"Schizophrenia, Paranoid",MESH:D012563,,olanzapine,4.16,8
PIAS3,10401,Schizophrenia,MESH:D012559,,Carbamazepine|Valproic Acid,4.16,3
PRMT7,54496,Schizophrenia,MESH:D012559,,Copper|Phenobarbital,4.16,2
RAI2,10742,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.16,3
SCN7A,6332,Schizophrenia,MESH:D012559,,Lipopolysaccharides|Valproic Acid,4.16,3
SLU7,10569,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.16,3
SMARCB1,6598,Schizophrenia,MESH:D012559,,Lipopolysaccharides|Valproic Acid,4.16,3
SRSF4,6429,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.16,3
TANC2,26115,Schizophrenia,MESH:D012559,,Lipopolysaccharides|Valproic Acid,4.16,3
TFDP1,7027,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.16,1
TSPAN31,6302,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.16,3
UBE2C,11065,"Schizophrenia, Catatonic",MESH:D012560,,Lithium,4.16,1
USO1,8615,Schizophrenia,MESH:D012559,,Cocaine|Valproic Acid,4.16,3
YTHDF2,51441,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.16,3
ABCC12,94160,"Schizophrenia, Paranoid",MESH:D012563,,Chlorpromazine,4.15,4
ABHD4,63874,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.15,1
ABLIM2,84448,"Schizophrenia, Paranoid",MESH:D012563,,Clozapine,4.15,26
ACAT2,39,"Schizophrenia, Catatonic",MESH:D012560,,Clozapine,4.15,1
AIFM3,150209,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
ALDOC,230,"Schizophrenia, Catatonic",MESH:D012560,,Clozapine,4.15,1
ATP13A3,79572,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
ATP6V0A2,23545,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
BCL2L1,598,"Schizophrenia, Disorganized",MESH:D012562,,Haloperidol,4.15,1
BLMH,642,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
CACFD1,11094,"Schizophrenia, Paranoid",MESH:D012563,,Chlorpromazine,4.15,4
CART1,562883,Schizophrenia,MESH:D012559,,Fluoxetine,4.15,1
CENPL,91687,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
CKB,1152,"Schizophrenia, Catatonic",MESH:D012560,,Lithium,4.15,1
COPS2,9318,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
EIF4EBP3L,324490,"Schizophrenia, Paranoid",MESH:D012563,,Chlorpromazine,4.15,4
ERC2,26059,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
ERCC4,2072,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.15,1
FAM171A1,221061,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
GALNT11,63917,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
GFI1,2672,Schizophrenia,MESH:D012559,,Folic Acid|Methionine,4.15,3
HERC3,8916,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
HOXD1,3231,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline,4.15,1
HUNK,30811,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
IKBIP,121457,Schizophrenia,MESH:D012559,,Ketamine|Valproic Acid,4.15,5
KANK2,25959,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
KLHL23,151230,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
LOXL1,4016,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.15,1
MAP4K5,11183,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
MCL1B,373102,"Schizophrenia, Paranoid",MESH:D012563,,Chlorpromazine,4.15,4
MGAT1,4245,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
MKRN1,23608,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
MTM1,4534,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
NEK7,140609,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
NR2E1,7101,"Schizophrenia, Paranoid",MESH:D012563,,Chlorpromazine,4.15,4
NSL1,25936,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
PDCL3,79031,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
PDILT,204474,"Schizophrenia, Paranoid",MESH:D012563,,Chlorpromazine,4.15,4
PELI2,57161,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
PHKB,5257,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
PPIL3,53938,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
PXYLP1,92370,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
RAB28,9364,"Schizophrenia, Paranoid",MESH:D012563,,Haloperidol,4.15,4
RALB,5899,"Schizophrenia, Paranoid",MESH:D012563,,Haloperidol,4.15,4
SAP30,8819,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
SECISBP2L,9728,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
SIK2,23235,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
SLC15A4,121260,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
SLC18A2,6571,"Schizophrenia, Catatonic",MESH:D012560,,Clozapine,4.15,1
SMC5,23137,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
SNHG12,85028,Schizophrenia,MESH:D012559,,Folic Acid|Valproic Acid,4.15,4
TMEM64,169200,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
TP53BP2,7159,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
TP53TG1,11257,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
TRIM32,22954,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
TTC30B,150737,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
ZMPSTE24,10269,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
ZMYM5,9205,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.15,3
ACSS2,55902,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.14,1
AGRN,375790,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.14,1
APC,324,Schizophrenia,MESH:D012559,,Copper|Phenobarbital|Valproic Acid,4.14,4
BST1,683,Schizophrenia,MESH:D012559,,Cocaine|Copper,4.14,2
BTG3,10950,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.14,1
CD8A,925,Schizophrenia,MESH:D012559,,Cytarabine|Fluoxetine,4.14,2
CES2C,234671,Schizophrenia,MESH:D012559,,Lipopolysaccharides|Phenobarbital,4.14,2
CFD,1675,"Schizophrenia, Paranoid",MESH:D012563,,Magnesium,4.14,1
CMTM6,54918,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline,4.14,1
DNMT3A,1788,"Schizophrenia, Paranoid",MESH:D012563,,Aripiprazole,4.14,3
FLCN,201163,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.14,1
FLRT3,23767,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline,4.14,1
LSP1,4046,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.14,1
MCEMP1,199675,Schizophrenia,MESH:D012559,,Vitamin D,4.14,5
PDIA3,2923,"Schizophrenia, Catatonic",MESH:D012560,,Lithium,4.14,1
PDLIM7,9260,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.14,1
PLCD4,84812,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline,4.14,1
PRKCSH,5589,Schizophrenia,MESH:D012559,,Chlorpromazine|Valproic Acid,4.14,25
PSCA,8000,Schizophrenia,MESH:D012559,,Smoke|Valproic Acid,4.14,3
S100A4,6275,"Schizophrenia, Catatonic",MESH:D012560,,Lithium,4.14,1
SLC29A1,2030,"Schizophrenia, Paranoid",MESH:D012563,,Ribavirin,4.14,1
SLC51B,123264,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.14,1
SRGN,5552,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.14,1
STAC3,246329,Schizophrenia,MESH:D012559,,Chlorpromazine|Valproic Acid,4.14,25
SYK,6850,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.14,1
UGT1A7,54577,Schizophrenia,MESH:D012559,,Imipramine|Lipopolysaccharides|Phenobarbital,4.14,3
UGT2A1,10941,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline,4.14,1
UQCRH,7388,Schizophrenia,MESH:D012559,,Cocaine|Copper,4.14,2
ABCB6,10058,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.13,1
ATP5F1E,514,Schizophrenia,MESH:D012559,,Cocaine|Valproic Acid,4.13,3
BANF1,8815,Schizophrenia,MESH:D012559,,Copper|Phenobarbital,4.13,2
CHRM1,1128,"Schizophrenia, Catatonic",MESH:D012560,,Clozapine,4.13,1
EIF5B,9669,Schizophrenia,MESH:D012559,,Cocaine|Valproic Acid,4.13,3
EPHB3,2049,Schizophrenia,MESH:D012559,,Cocaine|Valproic Acid,4.13,3
FAT1,2195,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.13,1
GPBAR1,151306,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.13,3
HRH1,3269,"Schizophrenia, Catatonic",MESH:D012560,,Clozapine,4.13,1
IL1F9,215257,Schizophrenia,MESH:D012559,,S-Adenosylmethionine,4.13,1
MASP2,10747,Schizophrenia,MESH:D012559,,Tetrachloroethylene|Valproic Acid,4.13,3
NBN,4683,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.13,1
NINJ1,4814,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.13,1
NTNG2,84628,"Schizophrenia, Paranoid",MESH:D012563,,Clozapine,4.13,26
OVGP1,5016,"Schizophrenia, Paranoid",MESH:D012563,,Clozapine,4.13,26
PCDH19,57526,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.13,3
PIK3CA,5290,Schizophrenia,MESH:D012559,,Carbamazepine|Copper|Valproic Acid,4.13,4
POU2AF1,5450,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.13,3
PPP1R14B,26472,Schizophrenia,MESH:D012559,,Carbamazepine|Ketamine,4.13,4
QKI,9444,"Schizophrenia, Paranoid",MESH:D012563,,Haloperidol,4.13,4
RNF4,6047,Schizophrenia,MESH:D012559,,Folic Acid|Methionine,4.13,3
RPL29,6159,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.13,3
RPS25,6230,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.13,3
SAPCD2,89958,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.13,3
SEMA4G,57715,Schizophrenia,MESH:D012559,,Cocaine|Valproic Acid,4.13,3
SENP1,29843,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.13,3
SEPT2,4735,Schizophrenia,MESH:D012559,,Cocaine|Valproic Acid,4.13,3
SLC22A8,9376,"Schizophrenia, Paranoid",MESH:D012563,,donepezil,4.13,1
SP7,121340,Schizophrenia,MESH:D012559,,gamma-Aminobutyric Acid|Valproic Acid,4.13,3
SPDEF,25803,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.13,3
SSBP1,6742,Schizophrenia,MESH:D012559,,Dopamine|Valproic Acid,4.13,3
SUN2,25777,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.13,3
SYBU,55638,Schizophrenia,MESH:D012559,,Cocaine|Valproic Acid,4.13,3
TRMT6,51605,Schizophrenia,MESH:D012559,,Cocaine|Valproic Acid,4.13,3
ABCG1,9619,"Schizophrenia, Catatonic",MESH:D012560,,Clozapine,4.12,1
ACYP1,97,Schizophrenia,MESH:D012559,,Carbamazepine|Valproic Acid,4.12,3
ARL5A,26225,"Schizophrenia, Paranoid",MESH:D012563,,Haloperidol,4.12,4
C15ORF48,84419,Schizophrenia,MESH:D012559,,Lipopolysaccharides|Valproic Acid,4.12,3
CDK16,5127,Schizophrenia,MESH:D012559,,Lipopolysaccharides|Valproic Acid,4.12,3
CEMIP,57214,Schizophrenia,MESH:D012559,,Copper|Cytarabine,4.12,2
CLEC3A,10143,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,4.12,2
COL7A1,1294,"Schizophrenia, Paranoid",MESH:D012563,,Diazepam,4.12,2
FAM111B,374393,Schizophrenia,MESH:D012559,,Folic Acid|Valproic Acid,4.12,4
GNB5,10681,Schizophrenia,MESH:D012559,,Carbamazepine|Valproic Acid,4.12,3
GSTT1B,393556,"Schizophrenia, Paranoid",MESH:D012563,,Chlorpromazine,4.12,4
HACD3,51495,Schizophrenia,MESH:D012559,,Ketamine|Valproic Acid,4.12,5
HAX1,10456,Schizophrenia,MESH:D012559,,Carbamazepine|Valproic Acid,4.12,3
HLA-DRA,3122,Schizophrenia,MESH:D012559,,Lipopolysaccharides|Valproic Acid,4.12,3
IGF2BP1,10642,Schizophrenia,MESH:D012559,,Lipopolysaccharides|Valproic Acid,4.12,3
IKBKG,8517,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.12,1
IL2RA,3559,"Schizophrenia, Catatonic",MESH:D012560,,Clozapine,4.12,1
ITPK1,3705,Schizophrenia,MESH:D012559,,Chlorpromazine|Valproic Acid,4.12,25
KCNS3,3790,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline,4.12,1
KIFC3,3801,Schizophrenia,MESH:D012559,,Chlorpromazine|Valproic Acid,4.12,25
KRT17,3872,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.12,1
LMNA,4000,"Schizophrenia, Catatonic",MESH:D012560,,Lithium,4.12,1
MFSD4B,91749,"Schizophrenia, Paranoid",MESH:D012563,,Chlorpromazine,4.12,4
NAPEPLD,222236,Schizophrenia,MESH:D012559,,Carbamazepine|Valproic Acid,4.12,3
ND2,4536,Schizophrenia,MESH:D012559,,Methamphetamine|Valproic Acid,4.12,7
NTN5,126147,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,4.12,2
OGA,10724,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.12,1
PPEF1,5475,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,4.12,2
PRKAG2-AS1,100505483,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,4.12,2
PRR5L,79899,Schizophrenia,MESH:D012559,,Methamphetamine|Valproic Acid,4.12,7
RAB6B,51560,Schizophrenia,MESH:D012559,,Carbamazepine|Valproic Acid,4.12,3
RSPRY1,89970,"Schizophrenia, Paranoid",MESH:D012563,,Chlorpromazine,4.12,4
RTN1,6252,Schizophrenia,MESH:D012559,,Cytarabine|Valproic Acid,4.12,3
SCUBE2,57758,Schizophrenia,MESH:D012559,,Carbamazepine|Valproic Acid,4.12,3
SERTM1,400120,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,4.12,2
SLC22A18AS,5003,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,4.12,2
STIMATE,375346,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,4.12,2
STX7,8417,"Schizophrenia, Paranoid",MESH:D012563,,Haloperidol,4.12,4
TMEM144,55314,Schizophrenia,MESH:D012559,,Carbamazepine|Valproic Acid,4.12,3
TNFAIP6,7130,"Schizophrenia, Paranoid",MESH:D012563,,Magnesium,4.12,1
ZNF321P,399669,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,4.12,2
AQP3,360,"Schizophrenia, Catatonic",MESH:D012560,,Lithium,4.11,1
ASAP2,8853,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
CASP12,100506742,"Schizophrenia, Catatonic",MESH:D012560,,Lithium,4.11,1
COPA,1314,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
DMP1,1758,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
HRH4,59340,"Schizophrenia, Paranoid",MESH:D012563,,Clozapine,4.11,26
HSD11B2,3291,"Schizophrenia, Catatonic",MESH:D012560,,Lithium,4.11,1
ITSN2,50618,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
LARP4,113251,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
LRR1,122769,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
LSM4,25804,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
MPHOSPH9,10198,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
NADK,65220,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
NLE1,54475,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
NMB,4828,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline,4.11,1
NUP54,53371,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
PALLD,23022,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.11,1
PDCD10,11235,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
PPP4R3B,57223,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
PSMA3,5684,Schizophrenia,MESH:D012559,,Fluoxetine|Phenobarbital,4.11,2
RAB31,11031,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.11,1
RELL1,768211,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
RP2,6102,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
SCRN1,9805,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
SLC17A8,246213,"Schizophrenia, Paranoid",MESH:D012563,,Haloperidol,4.11,4
SLC25A16,8034,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
SOD1,6647,"Schizophrenia, Disorganized",MESH:D012562,,Haloperidol,4.11,1
SSTR1,6751,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline,4.11,1
STRN3,29966,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
TCEA1,6917,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
TGFBR3,7049,"Schizophrenia, Paranoid",MESH:D012563,,Diazepam,4.11,2
TMCC3,57458,Schizophrenia,MESH:D012559,,Smoke|Valproic Acid,4.11,3
UBE2V2,7336,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
URI1,8725,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
VAMP5,10791,Schizophrenia,MESH:D012559,,Smoke|Valproic Acid,4.11,3
ZDHHC14,79683,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
ZKSCAN1,7586,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
ZPR1,8882,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,4.11,3
ADORA2A,135,"Schizophrenia, Catatonic",MESH:D012560,,Clozapine,4.10,1
APOH,350,"Schizophrenia, Paranoid",MESH:D012563,,olanzapine,4.10,8
CA2,760,"Schizophrenia, Paranoid",MESH:D012563,,Sulpiride,4.10,2
CASP4,837,"Schizophrenia, Catatonic",MESH:D012560,,Lithium,4.10,1
CCDC32,90416,"Schizophrenia, Paranoid",MESH:D012563,,Chlorpromazine,4.10,4
CD3D,915,Schizophrenia,MESH:D012559,,Calcifediol|Valproic Acid,4.10,3
CMBL,134147,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.10,1
DDC,1644,"Schizophrenia, Catatonic",MESH:D012560,,Clozapine,4.10,1
HDHD3,81932,Schizophrenia,MESH:D012559,,Tetrachloroethylene|Valproic Acid,4.10,3
MANBA,4126,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline,4.10,1
MANEA,79694,Schizophrenia,MESH:D012559,,Cocaine|Valproic Acid,4.10,3
NAPG,8774,Schizophrenia,MESH:D012559,,Cocaine|Valproic Acid,4.10,3
NGF,4803,"Schizophrenia, Paranoid",MESH:D012563,,Fluphenazine,4.10,3
POLA1,5422,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.10,1
PTPRA,5786,Schizophrenia,MESH:D012559,,Cocaine|Valproic Acid,4.10,3
R3HDM2,22864,Schizophrenia,MESH:D012559,,Cocaine|Valproic Acid,4.10,3
RAB7A,7879,"Schizophrenia, Paranoid",MESH:D012563,,Haloperidol,4.10,4
RAB8A,4218,"Schizophrenia, Paranoid",MESH:D012563,,Haloperidol,4.10,4
SEMA3F,6405,Schizophrenia,MESH:D012559,,Cocaine|Valproic Acid,4.10,3
TNFAIP8,25816,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.10,1
TP53INP1,94241,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.10,1
AR,367,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine|Fluphenazine,4.09,5
ATP2A2,488,"Schizophrenia, Catatonic",MESH:D012560,,Lithium,4.09,1
CALCB,797,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.09,3
CDK19,23097,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.09,3
CEMIP2,23670,Schizophrenia,MESH:D012559,,Carbamazepine|Valproic Acid,4.09,3
CNTRL,11064,Schizophrenia,MESH:D012559,,Cytarabine|Valproic Acid,4.09,3
CREBBP,1387,"Schizophrenia, Paranoid",MESH:D012563,,Aripiprazole,4.09,3
CYSTM1,84418,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.09,3
DCPS,28960,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.09,3
DNAJA3,9093,Schizophrenia,MESH:D012559,,Carbamazepine|Valproic Acid,4.09,3
DOT1L,84444,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.09,3
DPH5,51611,Schizophrenia,MESH:D012559,,Ketamine|Valproic Acid,4.09,5
FAT4,79633,Schizophrenia,MESH:D012559,,Ketamine|Valproic Acid,4.09,5
FZD3,7976,Schizophrenia,MESH:D012559,,Carbamazepine|Valproic Acid,4.09,3
GRB7,2886,Schizophrenia,MESH:D012559,,Chlorpromazine|Valproic Acid,4.09,25
HERC4,26091,Schizophrenia,MESH:D012559,,Carbamazepine|Valproic Acid,4.09,3
IKZF2,22807,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.09,3
KLF6,1316,"Schizophrenia, Catatonic",MESH:D012560,,Lithium,4.09,1
MIS18A,54069,Schizophrenia,MESH:D012559,,Ketamine|Valproic Acid,4.09,5
MRC2,9902,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.09,3
MUM1,84939,Schizophrenia,MESH:D012559,,Ketamine|Valproic Acid,4.09,5
MXD3,83463,Schizophrenia,MESH:D012559,,Cytarabine|Valproic Acid,4.09,3
MYL12A,10627,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.09,3
NFATC1,4772,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.09,1
NUDT21,11051,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.09,3
PDE1C,5137,Schizophrenia,MESH:D012559,,Lipopolysaccharides|Valproic Acid,4.09,3
PDLIM4,8572,Schizophrenia,MESH:D012559,,Cytarabine|Valproic Acid,4.09,3
PGK1,5230,"Schizophrenia, Catatonic",MESH:D012560,,Clozapine,4.09,1
PMEPA1,56937,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,4.09,1
POLE4,56655,Schizophrenia,MESH:D012559,,Carbamazepine|Valproic Acid,4.09,3
PPM1G,5496,Schizophrenia,MESH:D012559,,Carbamazepine|Valproic Acid,4.09,3
PTGES2,80142,Schizophrenia,MESH:D012559,,Lipopolysaccharides|Valproic Acid,4.09,3
RBFOX2,23543,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.09,3
RGMA,56963,Schizophrenia,MESH:D012559,,Carbamazepine|Valproic Acid,4.09,3
SLC16A14,151473,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.09,3
SLC25A11,8402,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.09,3
SLC6A4,6532,"Schizophrenia, Catatonic",MESH:D012560,,Clozapine,4.09,1
SRGAP2,23380,Schizophrenia,MESH:D012559,,Methamphetamine|Valproic Acid,4.09,7
SSFA2,6744,Schizophrenia,MESH:D012559,,Methamphetamine|Valproic Acid,4.09,7
TAF15,8148,Schizophrenia,MESH:D012559,,Methamphetamine|Valproic Acid,4.09,7
TMEM50B,757,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,4.09,3
TPM1,7168,"Schizophrenia, Catatonic",MESH:D012560,,Lithium,4.09,1
TRIM23,373,"Schizophrenia, Paranoid",MESH:D012563,,Haloperidol,4.09,4
WASF2,10163,Schizophrenia,MESH:D012559,,Methamphetamine|Valproic Acid,4.09,7
